Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Wetter, Michael; Hu, Jianjun; Prakash, Anand; Ehrlich, Paul; Fierro, Gabe; Grahovac, Milica; Pritoni, Marco; Rivalin, Lisa; Robin, Dave; ",Modelica-json: Transforming energy models to digitize the control delivery process,Building Simulation Conference Proceedings,17,,1-8,2021,
"Zhang, Kun; Prakash, Anand; Paul, Lazlo; Blum, David; Alstone, Peter; Zoellick, James; Brown, Richard; Pritoni, Marco; ",Model predictive control for demand flexibility: Real-world operation of a commercial building with photovoltaic and battery systems,Advances in Applied Energy,7,,100099,2022,Elsevier
"Helmns, Dre; Casillas, Armando; Prakash, Anand; Blum, David; Pritoni, Marco; Dutton, Spencer; Woolley, Jonathan; Chakraborty, Subhrajit; ","Heat pumps with phase change thermal storage: flexible, efficient, and electrification friendly",,,,,2022,
"Prakash, Anand Krishnan; Pritoni, Marco; Kloss, Margarita; Piette, Mary Ann; Kamel, Michel; Hage, Dotty; ",Cloud-Control of Legacy Building Automation System: A case study,,,,,2022,
"Nordman, Bruce; Pritoni, Marco; Piette, Mary Ann; Prakash, Anand Krishnan; ",Communication Requirements for Price-Based Grid Coordination,,,,,2022,
"Paul, Lazlo; Prakash, Anand Krishnan; Zhang, Kun; Pritoni, Marco; Brown, Rich; ","SolarPlus Optimizer: Integrated Control of Solar, Batteries, and Flexible Loads for Small Commercial Buildings",,,,,2022,
"Duarte Roa, Carlos; Raftery, Paul; Sun, Ruiji; Paul, Lazlo; Prakash, Anand Krishnan; Pritoni, Marco; Fierro, Gabe; Peffer, Therese; ",Towards a Stronger Foundation: Digitizing Commercial Buildings with Brick to Enable Portable Advanced Applications,,,,,2022,
"Fernandes, Samuel; Najibi, Rohullah; Prakash, Anand; Singh, Reshma; Zafiris, Marina; Granderson, Jessica; ",Thermal anomaly and rooftop unit (RTU) detection in buildings through machine learning,Remote Sensing Technologies and Applications in Urban Environments VII,12269,,51-57,2022,SPIE
"Fierro, Gabe; Prakash, Anand K; Blum, David; Bender, Joel; Paulson, Erik; Wetter, Michael; ",Notes paper: enabling building application development with simulated digital twins,"Proceedings of the 9th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,250-253,2022,
"Singh, Reshma; Fernandes, Samuel; Prakash, Anand Krishnan; Mathew, Paul; Granderson, Jessica; Snaith, Colman; Pusapati, Rahul; Jadhav, Pratap; Zakhor, Avideh; Upadhyay, Rishi; ",Scaling Building Energy Audits through Machine Learning Methods on Novel Drone Image Data,,,,,2022,
"Helmns, Dre; Casillas, Armando; Woolley, Jonathan; Prakash, Anand K; Blum, David H; Grant, Peter; Chakraborty, Subhrajit; Dutton, Spencer M; Pritoni, Marco; ",Heat pumps with phase change material thermal energy storage for space and water heating: a design and simulation study,Available at SSRN 4376436,,,,2023,
"Sartori, Igor; Walnum, Harald Taxt; Skeie, Kristian S; Georges, Laurent; Knudsen, Michael D; Bacher, Peder; Candanedo, José; Sigounis, Anna-Maria; Prakash, Anand Krishnan; Pritoni, Marco; ",Sub-hourly measurement datasets from 6 real buildings: Energy use and indoor climate,Data in Brief,48,,109149,2023,Elsevier
"Peffer, Therese; Fierro, Gabe; Raftery, Paul; Duarte Roa, Carlos; Pritoni, Marco; Wetter, Michael; Prakash, Anand; Paul, Lazlo; Paulson, Erik; ","Skewering the silos: using Brick to enable portable analytics, modeling and controls in buildings",,,,,2023,
"Paul, L; Prakash, A; Zhang, K; Pritoni, M; Brown, R; ","Solar+ optimizer: Integrated control of solar, batteries, and flexible loads for small commercial buildings",,,,,2022,ACEEE
"Duarte Roa, Carlos; Raftery, Paul; Prakash, Anand; Peffer, Therese; ",Field demonstration of the brick ontology to scale up the deployment of ASHRAE guideline 36 control sequences,,,,,2023,
"Paul, Lazlo; Huang, Weiping; Pritoni, Marco; Casillas, Armando; Prakash, Anand; de Andrade Pereira, Flavia; ",Demand Flexibility Controls Library using Semantics (DFLEXLIBS) v0. 1,US Department of Energy (DOE) Software,,,219,2023,
"Prakash, Anand Krishnan; Van Cutsem, Olivier; Patel, Serena; Indera, Adya; ",Electricity Bill Calculator (elecprice) v0. 1.0,US Department of Energy (DOE) Software,,,295,2022,
"de Andrade Pereira, Flavia; Paul, Lazlo; Pritoni, Marco; Casillas, Armando; Prakash, Anand; Huang, Weiping; Shaw, Conor; Martin-Toral, Susana; Finn, Donal; O’Donnell, James; ",Enabling portable demand flexibility control applications in virtual and real buildings,Journal of Building Engineering,86,,108645,2024,Elsevier
"de Andrade Pereira, Flavia; Katsigarakis, Kyriakos; Rovas, Dimitrios; Pritoni, Marco; Shaw, Conor; Paul, Lazlo; Prakash, Anand; Martin-Toral, Susana; Finn, Donal; O’Donnell, James; ",A semantics-driven framework to enable demand flexibility control applications in real buildings,Advanced Engineering Informatics,64,,103049,2025,Elsevier
"Singh, Reshma; Fernandes, Samuel; Prakash, Anand Krishnan; ",Scaling Building Energy Audits through Machine Learning Methods on Novel Drone Image,,,,,2022,
